s,wkt
findspot:Aachen,POINT (6.105278 50.770833)
findspot:Aardenburg,POINT (3.450000048 51.28333282)
findspot:Aislingen,POINT (10.44999981 48.5)
findspot:Altenstadt,POINT (8.941192 50.285161)
findspot:Aspiran,POINT (3.433333 43.566667)
findspot:Aulnay,POINT (-0.349999994 46.01666641)
findspot:Aulnay__fortress,POINT (-0.349999994 46.01666641)
findspot:Avocourt,POINT (5.15 49.2)
findspot:Baden,POINT (8.3 47.466667)
findspot:Baden-Baden,POINT (8.25 48.75)
findspot:Bainbridge,POINT (-2.099999905 54.29999924)
findspot:Baldock,POINT (-0.183333293 51.98332977)
findspot:Banassac,POINT (3.2 44.433333)
findspot:Bendorf,POINT (7.566667 50.433333)
findspot:Benwell,POINT (-1.660947204 54.97546387)
findspot:Bern,POINT (7.466667 46.916667)
findspot:Bickenbach,POINT (7.533333 50.116667)
findspot:Birrens,POINT (-3.222800016 55.06359863)
findspot:Blickweiler,POINT (7.25 49.216667)
findspot:Bliesbruck,POINT (7.183333 49.116667)
findspot:Bocheporn,POINT (6.6 49.15)
findspot:Bram,POINT (2.116667 43.25)
findspot:Brigetio,POINT (18.16666603 47.73333359)
findspot:Broomholm,POINT (-2.987909555 55.11931992)
findspot:Budapest,POINT (19.08333397 47.5)
findspot:Budapest__Aquincum_Hoard,POINT (19.08333397 47.5)
findspot:Burghoefe,POINT (10.84333038 48.65999985)
findspot:Burghoefe__Geschirrdepot,POINT (10.84333038 48.65999985)
findspot:Burgstall,POINT (12.9425094 48.744369)
findspot:Burladingen,POINT (9.116666794 48.28333282)
findspot:Butzbach,POINT (8.665183 50.439681)
findspot:Butzbach__Degerfeld,POINT (8.665183 50.439681)
findspot:Caerhun,POINT (-3.833333254 53.21666718)
findspot:Caerleon,POINT (-2.950000048 51.61666107)
findspot:Caersws,POINT (-3.444389105 52.51670074)
findspot:Caerwent,POINT (-2.766666889 51.61666107)
findspot:Caistor-by-Norwich,POINT (1.291995287 52.58224106)
findspot:Cala_Culip,POINT (3.316666603 42.31666565)
findspot:Cala_Culip__IV,POINT (3.316666603 42.31666565)
findspot:Camelon,POINT (-3.823740005 56.00821304)
findspot:Camulodunum,POINT (0.899999976 51.88333511)
findspot:Cannstatt,POINT (9.2141 48.8056)
findspot:Canterbury,POINT (1.083333015 51.26667023)
findspot:Cardiff,POINT (-3.183333397 51.48333359)
findspot:Carlisle,POINT (-2.93333292 54.88333893)
findspot:Carmarthen,POINT (-4.311666489 51.85916519)
findspot:Carrade,POINT (1.666667 44.46667)
findspot:Carrawburgh,POINT (-2.222198009 55.03505325)
findspot:Castell_Collen,POINT (-3.391672611 52.24757767)
findspot:Castleford,POINT (-1.350000024 53.71667099)
findspot:Castleford__Pottery_Shop,POINT (-1.350000024 53.71667099)
findspot:Catterick,POINT (-1.661204815 54.38587189)
findspot:Chemery-Faulquemont,POINT (6.50833 49.15)
findspot:Chester,POINT (-2.916666985 53.20000076)
findspot:Chesterholm-Vindolanda,POINT (-2.3595047 54.99158859)
findspot:Chesters,POINT (-2.150000095 55.01666641)
findspot:Chichester,POINT (-0.783333302 50.83332825)
findspot:Cirencester,POINT (-1.983332992 51.73332977)
findspot:Cirencester__fort_ditch,POINT (-1.983332992 51.73332977)
findspot:Colchester,POINT (0.9 51.883333)
findspot:Colchester__Boudiccan_burning,POINT (0.899999976 51.88333893)
findspot:Colchester__Pottery_Shop_I,POINT (0.899999976 51.88333893)
findspot:Colchester__Pottery_Shop_II,POINT (0.899999976 51.88333893)
findspot:Colchester__Sheepen,POINT (0.899999976 51.88333893)
findspot:Corbridge,POINT (-2.016666889 54.96667099)
findspot:Cournon,POINT (3.216667 45.75)
findspot:Crambade,POINT (1.9 43.865)
findspot:Echzell,POINT (8.883176 50.393087)
findspot:Eincheville,POINT (6.6 48.983333)
findspot:Elginhaugh,POINT (-3.080559731 55.89313126)
findspot:Epfach,POINT (10.91666985 47.91667175)
findspot:Epfach__Lorenzberg,POINT (10.91666985 47.91667175)
findspot:Eschweilerhof,POINT (7.2 49.3)
findspot:Espalion,POINT (2.766667 44.516667)
findspot:Friedberg,POINT (8.753502 50.341669)
findspot:Geislingen,POINT (8.816666603 48.28333282)
findspot:Gloucester,POINT (-2.25 51.83332825)
findspot:Gloucester__Kingsholm,POINT (-2.25 51.83332825)
findspot:Great_Chesters,POINT (-2.462698936 54.99393463)
findspot:Guenzburg,POINT (10.26667023 48.45000076)
findspot:Gueugnon,POINT (4.066667 46.6)
findspot:Haute-Yutz,POINT (6.2 49.35)
findspot:Heddernheim,POINT (8.649999619 50.16667175)
findspot:Heddernheim__Erweiterungslager,POINT (8.649999619 50.16667175)
findspot:Heddernheim__Steinkastell,POINT (8.649999619 50.16667175)
findspot:Heddernheim__fort,POINT (8.649999619 50.16667175)
findspot:Heidelberg,POINT (8.699999809 49.41667175)
findspot:Heiligenberg,POINT (7.4 48.533333)
findspot:Heldenbergen,POINT (8.866666794 50.23333359)
findspot:Hofheim,POINT (8.449999809 50.08333206)
findspot:Hofheim__I,POINT (8.449999809 50.08333206)
findspot:Hofheim__II,POINT (8.449999809 50.08333206)
findspot:Hofheim__vicus,POINT (8.449999809 50.08333206)
findspot:Holt,POINT (-2.25 52.25)
findspot:Horbourg,POINT (7.383333 48.083333)
findspot:Huefingen,POINT (8.483333588 47.91667175)
findspot:Inchtuthil,POINT (-3.422952414 56.5413475)
findspot:Ittenwiller,POINT (7.466667 48.383333)
findspot:Jaulges-Villiers-Vineux,POINT (3.783333 47.966667)
findspot:Jonquieres_Saint-Saturnin,POINT (3.466667 43.683333)
findspot:Koengen,POINT (9.366666794 48.68333054)
findspot:Koesching,POINT (11.5 48.81666565)
findspot:Kraeherwald,POINT (9.183333 48.766667)
findspot:Kuenzing,POINT (13.08333015 48.66667175)
findspot:La_Graufesenque,POINT (3.083333 44.0)
findspot:La_Graufesenque__Fosse_Cirratus,POINT (3.083333015 44.09999847)
findspot:La_Graufesenque__Fosse_Malaval,POINT (3.083333015 44.09999847)
findspot:La_Madeleine,POINT (6.25 48.65)
findspot:Ladenburg,POINT (8.606944084 49.47499847)
findspot:Langenhain,POINT (8.644794 50.365103)
findspot:Langenhain__store,POINT (8.644794 50.365103)
findspot:Lavoye,POINT (5.13333 49.0333)
findspot:Le_Pont_des_Remes,POINT (4.95 49.1333)
findspot:Le_Rozier,POINT (3.216667 44.18333)
findspot:Lehen,POINT (7.8 48.016667)
findspot:Les_Allieux,POINT (5.06667 49.2)
findspot:Lezoux,POINT (3.383333 45.833333)
findspot:Lincoln,POINT (-0.533333302 53.23333359)
findspot:Little_Chester,POINT (-1.471779108 52.93341446)
findspot:London,POINT (-0.116667 51.5)
findspot:Longthorpe,POINT (-0.291401565 52.56443405)
findspot:Longthorpe__fortress,POINT (-0.291401565 52.56443405)
findspot:Lubie,POINT (3.633333 46.25)
findspot:Luxeuil-les-Bains,POINT (6.383333 47.816667)
findspot:Martres-de-Veyre,POINT (3.2 45.683333)
findspot:Melandra,POINT (-1.986288428 53.4519577)
findspot:Mittelbronn,POINT (7.216667 48.766667)
findspot:Montans,POINT (1.9 43.866667)
findspot:Mougon,POINT (0.466667 47.27)
findspot:Munningen,POINT (10.60000038 48.91666794)
findspot:Narbonne,POINT (3.0 43.183333)
findspot:Nether_Denton,POINT (-2.640561104 54.97245789)
findspot:Newcastle,POINT (-1.61944437 54.98805618)
findspot:Newstead,POINT (-1.216666698 53.06666565)
findspot:Nijmegen,POINT (5.866666794 51.83332825)
findspot:Nijmegen__Kops_Plateau,POINT (5.866666794 51.83332825)
findspot:Nijmegen__VN,POINT (5.866666794 51.83332825)
